epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,605.822,0.38112,1.58057,1.12361,0.24549,0.55709,0.28948,0.28826,0.15745,1.2042,0.29131,0.00333134,0.00333134,0.00333134
2,1315.46,0.25034,0.95324,0.97798,0.301,0.57304,0.3336,0.32671,0.33793,0.88114,0.49312,0.00659869,0.00659869,0.00659869
3,2067.96,0.26171,0.84909,0.98009,0.1986,0.66118,0.27848,0.27197,0.28169,0.97757,0.38306,0.00980004,0.00980004,0.00980004
4,2909.1,0.23605,0.81799,0.96285,0.45575,0.49523,0.31046,0.30776,0.28679,0.82233,0.37511,0.009703,0.009703,0.009703
5,3798.99,0.19877,0.78976,0.94525,0.45741,0.58888,0.33423,0.32873,0.25507,0.76368,0.37179,0.009604,0.009604,0.009604
6,4620.68,0.17851,0.77748,0.93692,0.50034,0.49814,0.34062,0.33961,0.2854,0.81607,0.38944,0.009505,0.009505,0.009505
7,5428.1,0.1625,0.75933,0.92903,0.5062,0.5106,0.35194,0.35189,0.17886,0.69018,0.27212,0.009406,0.009406,0.009406
8,6235.84,0.15267,0.75471,0.92358,0.49318,0.54852,0.35977,0.3551,0.27886,0.74269,0.36526,0.009307,0.009307,0.009307
9,7009.99,0.1459,0.75016,0.92319,0.45456,0.61108,0.3561,0.35493,0.20613,0.77286,0.31097,0.009208,0.009208,0.009208
10,7813.73,0.13748,0.7464,0.91859,0.47,0.61723,0.37084,0.3684,0.18742,0.72389,0.25801,0.009109,0.009109,0.009109
11,8604.02,0.134,0.73592,0.91804,0.51556,0.52271,0.37941,0.37505,0.38048,0.81242,0.39928,0.00901,0.00901,0.00901
12,9422.12,0.12789,0.73211,0.91444,0.4614,0.6793,0.37106,0.35897,0.37666,0.78826,0.3971,0.008911,0.008911,0.008911
13,10204.8,0.12371,0.73065,0.91346,0.51038,0.5561,0.3833,0.38302,0.19821,0.69726,0.26957,0.008812,0.008812,0.008812
14,11006.9,0.12149,0.72452,0.91266,0.50999,0.5744,0.38684,0.38242,0.29734,0.80824,0.28375,0.008713,0.008713,0.008713
15,11793.8,0.12044,0.72202,0.91178,0.47208,0.6515,0.38634,0.38632,0.14683,0.6629,0.21368,0.008614,0.008614,0.008614
16,12569.1,0.11609,0.71619,0.91142,0.50953,0.58123,0.39465,0.39459,0.1331,0.6398,0.19669,0.008515,0.008515,0.008515
17,13304.4,0.11299,0.71285,0.91137,0.49696,0.60458,0.4111,0.40769,0.24031,0.71653,0.3053,0.008416,0.008416,0.008416
18,13952.6,0.10898,0.71383,0.90772,0.51375,0.59643,0.41328,0.41311,0.17238,0.67829,0.25462,0.008317,0.008317,0.008317
19,14535.6,0.10918,0.7112,0.90866,0.53449,0.57436,0.42746,0.4274,0.14633,0.63101,0.22065,0.008218,0.008218,0.008218
20,15011,0.10888,0.71639,0.91042,0.57251,0.54704,0.44223,0.43928,0.17839,0.67426,0.25542,0.008119,0.008119,0.008119
21,15444.3,0.10824,0.70954,0.90842,0.55305,0.57246,0.45002,0.44367,0.2942,0.772,0.30023,0.00802,0.00802,0.00802
22,15878.7,0.10548,0.70387,0.90593,0.61093,0.52028,0.47499,0.46959,0.25905,0.73929,0.24379,0.007921,0.007921,0.007921
23,16313.7,0.10128,0.69939,0.90418,0.60276,0.54273,0.47085,0.46676,0.25231,0.72342,0.22579,0.007822,0.007822,0.007822
24,16764.4,0.10397,0.70555,0.90527,0.60794,0.53052,0.47011,0.46678,0.23096,0.7186,0.21406,0.007723,0.007723,0.007723
25,17201,0.10276,0.70064,0.90388,0.61143,0.55696,0.47424,0.47171,0.22995,0.70591,0.21311,0.007624,0.007624,0.007624
26,17636.2,0.10278,0.69753,0.90192,0.61959,0.54664,0.48232,0.47903,0.26741,0.71819,0.24468,0.007525,0.007525,0.007525
27,18072.2,0.10014,0.69814,0.9005,0.63506,0.55176,0.48694,0.48494,0.24622,0.7088,0.22325,0.007426,0.007426,0.007426
28,18506.6,0.0978,0.68927,0.89919,0.64245,0.53175,0.49398,0.49119,0.2386,0.69752,0.21111,0.007327,0.007327,0.007327
29,18942.2,0.09742,0.69104,0.89998,0.64964,0.52825,0.49817,0.4936,0.22585,0.69299,0.20218,0.007228,0.007228,0.007228
30,19378.3,0.09405,0.68813,0.89805,0.64954,0.52577,0.50121,0.49487,0.22653,0.69489,0.19918,0.007129,0.007129,0.007129
31,19815.4,0.09477,0.68543,0.90238,0.65868,0.52494,0.50113,0.4971,0.22386,0.69034,0.19892,0.00703,0.00703,0.00703
32,20250.8,0.08943,0.67824,0.90126,0.65721,0.51294,0.49691,0.49467,0.21941,0.69169,0.19885,0.006931,0.006931,0.006931
33,20684.3,0.08998,0.67956,0.90047,0.65241,0.52375,0.50014,0.49816,0.22568,0.69809,0.20733,0.006832,0.006832,0.006832
34,21118.8,0.09302,0.68206,0.89747,0.64874,0.52866,0.49984,0.4975,0.23465,0.70449,0.21726,0.006733,0.006733,0.006733
35,21553.2,0.09005,0.67612,0.89934,0.64992,0.53036,0.49763,0.4965,0.24087,0.69923,0.22011,0.006634,0.006634,0.006634
36,21989.8,0.08729,0.68033,0.90058,0.65857,0.52424,0.49877,0.49786,0.22875,0.68441,0.20746,0.006535,0.006535,0.006535
37,22425.1,0.08597,0.67703,0.89938,0.65539,0.52631,0.4984,0.49747,0.22948,0.68072,0.20793,0.006436,0.006436,0.006436
38,22862.1,0.08641,0.67613,0.90107,0.65584,0.53024,0.50115,0.49957,0.23068,0.682,0.20997,0.006337,0.006337,0.006337
39,23298.4,0.08597,0.67655,0.89826,0.65097,0.536,0.5018,0.50022,0.22132,0.67682,0.19976,0.006238,0.006238,0.006238
40,23734.7,0.08416,0.67162,0.89639,0.65339,0.5374,0.50251,0.5012,0.22437,0.67635,0.20175,0.006139,0.006139,0.006139
41,24171.6,0.0845,0.67712,0.8995,0.65282,0.53496,0.50435,0.50269,0.22711,0.67411,0.2033,0.00604,0.00604,0.00604
42,24609,0.0831,0.67223,0.89782,0.65566,0.5348,0.50435,0.50307,0.23076,0.67365,0.20674,0.005941,0.005941,0.005941
43,25042.8,0.08327,0.66961,0.89999,0.65699,0.53666,0.50588,0.50465,0.23233,0.67264,0.2076,0.005842,0.005842,0.005842
44,25479.1,0.07995,0.66583,0.89879,0.65738,0.53956,0.50701,0.50583,0.23055,0.67253,0.20489,0.005743,0.005743,0.005743
45,25915.1,0.08069,0.6633,0.89883,0.65806,0.53844,0.50918,0.5081,0.22774,0.67192,0.2009,0.005644,0.005644,0.005644
46,26351.2,0.08121,0.66816,0.89937,0.65048,0.54556,0.50932,0.50825,0.22643,0.67199,0.19932,0.005545,0.005545,0.005545
47,26789,0.07925,0.66432,0.89866,0.64577,0.5511,0.50918,0.50808,0.22874,0.67364,0.20194,0.005446,0.005446,0.005446
48,27224.7,0.07855,0.66283,0.89752,0.47933,0.60064,0.50928,0.50822,0.22921,0.67387,0.20201,0.005347,0.005347,0.005347
49,27660.2,0.07743,0.65632,0.89666,0.47427,0.59689,0.50956,0.50825,0.22963,0.67402,0.20205,0.005248,0.005248,0.005248
50,28095.4,0.07704,0.65694,0.89832,0.47969,0.59824,0.51153,0.51048,0.23595,0.6769,0.20878,0.005149,0.005149,0.005149
51,28529.5,inf,0.65724,0.89898,0.49134,0.59384,0.51126,0.51034,0.24027,0.67877,0.21328,0.00505,0.00505,0.00505
52,28967.1,0.07481,0.65827,0.89769,0.65877,0.5391,0.51267,0.51165,0.24289,0.68231,0.21573,0.004951,0.004951,0.004951
53,29404,0.07635,0.65427,0.89646,0.67301,0.50891,0.51127,0.51038,0.2532,0.69358,0.22671,0.004852,0.004852,0.004852
54,29841,0.07524,0.65497,0.89598,0.67238,0.5084,0.51356,0.51272,0.26092,0.69589,0.23359,0.004753,0.004753,0.004753
55,30276.6,0.07423,0.65085,0.89624,0.67437,0.50916,0.51432,0.51351,0.259,0.69467,0.23095,0.004654,0.004654,0.004654
56,30711.5,0.07244,0.65262,0.89486,0.67556,0.51263,0.51468,0.51393,0.2565,0.69342,0.22719,0.004555,0.004555,0.004555
57,31147.9,0.07104,0.64968,0.89421,0.46952,0.59957,0.51572,0.51474,0.25424,0.69235,0.22383,0.004456,0.004456,0.004456
58,31585.7,inf,0.64764,0.89317,0.47421,0.60197,0.51642,0.51571,0.2513,0.69121,0.22013,0.004357,0.004357,0.004357
59,32023.2,0.07,0.64854,0.89318,0.47992,0.61038,0.51715,0.51645,0.24823,0.69027,0.21627,0.004258,0.004258,0.004258
60,32461.2,0.06894,0.64108,0.89291,0.47984,0.61104,0.51853,0.51794,0.24622,0.68982,0.21377,0.004159,0.004159,0.004159
61,32898.9,0.07164,0.65029,0.89425,0.47811,0.61055,0.51966,0.5191,0.24418,0.68816,0.21115,0.00406,0.00406,0.00406
62,33337.7,inf,0.64739,0.8921,0.67984,0.51555,0.52154,0.52093,0.24204,0.68664,0.20839,0.003961,0.003961,0.003961
63,33778.6,0.06686,0.63732,0.89314,0.67992,0.51452,0.52269,0.52202,0.24011,0.68656,0.20672,0.003862,0.003862,0.003862
64,34218.7,inf,0.64485,0.89209,0.67914,0.52574,0.523,0.52226,0.23809,0.68566,0.20496,0.003763,0.003763,0.003763
65,34660.4,0.06446,0.63709,0.89282,0.67982,0.52418,0.52479,0.52393,0.2367,0.68441,0.20335,0.003664,0.003664,0.003664
66,35100.6,0.06516,0.63748,0.89277,0.67951,0.52203,0.52639,0.52533,0.2357,0.68319,0.20187,0.003565,0.003565,0.003565
67,35539.5,0.06477,0.63304,0.89406,0.47394,0.61155,0.52769,0.52654,0.23433,0.68141,0.19958,0.003466,0.003466,0.003466
68,35981.5,0.06318,0.63535,0.89319,0.58638,0.54693,0.52933,0.52793,0.23201,0.67969,0.19645,0.003367,0.003367,0.003367
69,36425.7,0.0627,0.63087,0.89147,0.60697,0.5473,0.53149,0.53001,0.23106,0.67775,0.19453,0.003268,0.003268,0.003268
70,36866.5,inf,0.62907,0.89163,0.61098,0.54469,0.53222,0.53085,0.22969,0.67555,0.19242,0.003169,0.003169,0.003169
71,37309,0.06076,0.63338,0.89176,0.60996,0.54071,0.5335,0.53213,0.22698,0.67173,0.19021,0.00307,0.00307,0.00307
72,37752.3,0.06035,0.62291,0.89095,0.47074,0.62895,0.53622,0.53535,0.18067,0.64224,0.17346,0.002971,0.002971,0.002971
73,38195.6,0.05872,0.63364,0.89091,0.47451,0.632,0.53785,0.53785,0.12617,0.58811,0.15116,0.002872,0.002872,0.002872
74,38635.8,0.05814,0.6268,0.891,0.46997,0.63025,0.54018,0.54018,0.10038,0.55584,0.13963,0.002773,0.002773,0.002773
75,39078.8,0.05734,0.62865,0.89066,0.46452,0.63239,0.54213,0.54213,0.09819,0.5526,0.13749,0.002674,0.002674,0.002674
76,39522.6,0.0561,0.62961,0.8921,0.46585,0.63364,0.5429,0.5429,0.09777,0.55151,0.13645,0.002575,0.002575,0.002575
77,39984,0.0552,0.62369,0.89287,0.46487,0.63444,0.54474,0.54474,0.09722,0.55054,0.13533,0.002476,0.002476,0.002476
78,40449.6,0.05427,0.62111,0.89112,0.47007,0.63991,0.54676,0.54676,0.09583,0.54944,0.13352,0.002377,0.002377,0.002377
79,40918.2,inf,0.61879,0.89014,0.46979,0.64085,0.548,0.548,0.09407,0.54778,0.13141,0.002278,0.002278,0.002278
80,41383.2,inf,0.61325,0.89047,0.47509,0.63721,0.5497,0.5497,0.09257,0.54586,0.12959,0.002179,0.002179,0.002179
81,41852.6,0.05223,0.61887,0.89001,0.47723,0.63839,0.55205,0.55205,0.09085,0.5437,0.12761,0.00208,0.00208,0.00208
82,42299.5,0.0529,0.61598,0.89086,0.48018,0.63847,0.55333,0.55333,0.08964,0.54196,0.1262,0.001981,0.001981,0.001981
83,42745.2,0.05096,0.61382,0.88935,0.47443,0.6398,0.55474,0.55474,0.08788,0.54023,0.12436,0.001882,0.001882,0.001882
84,43188.6,0.05046,0.61372,0.88903,0.47385,0.63772,0.5558,0.5558,0.08652,0.53869,0.12272,0.001783,0.001783,0.001783
85,43636.9,0.04952,0.61204,0.88977,0.47741,0.63765,0.55753,0.55753,0.08529,0.53736,0.12124,0.001684,0.001684,0.001684
